baker,series,episode,technical,result,last_name,baker_age,baker_occupation,hometown,signature_bake,show_stopper
Sarah-Jane,3,7,7,OUT,Willis,28,Vicar's wife,"Bewbush, West Sussex","Orange, Nutmeg and Saffron Buns",Sour Cherry and Dark Chocolate Christmas Plait
Danny,3,7,2,STAR BAKER,Bryden,45,Intensive care consultant,Sheffield,Bakewell Chelsea Buns,European Christmas Wreath
Manisha,3,7,NA,NA,NA,NA,NA,NA,NA,NA
Natasha,3,7,NA,NA,NA,NA,NA,NA,NA,NA
Peter,3,7,NA,NA,NA,NA,NA,NA,NA,NA
Stuart,3,7,NA,NA,NA,NA,NA,NA,NA,NA
Victoria,3,7,NA,NA,NA,NA,NA,NA,NA,NA
Brendan,3,8,2,IN,Lynch,63,Recruitment consultant,Sutton Coldfield,Multi-Seed Savoury Crackers,Fantasy Gingerbread Bird House
Danny,3,8,4,IN,Bryden,45,Intensive care consultant,Sheffield,Spiced Almond Drinks Crackers,Gingerbread Big Ben
John,3,8,3,IN,Whaite,22,Law student,Wigan,Asian Spice Crackers,Gingerbread Roman Coliseum
Cathryn,3,8,5,OUT,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",Cheese and Pickle Crackers,Gingerbread Buckingham Palace
James,3,8,1,STAR BAKER,Morton,21,Medical student,"Hillswick, Shetland Islands","Smoky Cayenne, Cumin and Chilli Crackers",Gingerbread Barn
Manisha,3,8,NA,NA,NA,NA,NA,NA,NA,NA
Natasha,3,8,NA,NA,NA,NA,NA,NA,NA,NA
Peter,3,8,NA,NA,NA,NA,NA,NA,NA,NA
Ryan,3,8,NA,NA,NA,NA,NA,NA,NA,NA
Sarah-Jane,3,8,NA,NA,NA,NA,NA,NA,NA,NA
Stuart,3,8,NA,NA,NA,NA,NA,NA,NA,NA
Victoria,3,8,NA,NA,NA,NA,NA,NA,NA,NA
Brendan,3,9,3,IN,Lynch,63,Recruitment consultant,Sutton Coldfield,Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets,Gateau St. Honoré
John,3,9,2,IN,Whaite,22,Law student,Wigan,Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons,Gateau St. Honoré a la Passion
Danny,3,9,4,OUT,Bryden,45,Intensive care consultant,Sheffield,Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat,Rosewater and Lychee St. Honoré
James,3,9,1,STAR BAKER,Morton,21,Medical student,"Hillswick, Shetland Islands","Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons","Coffee, Caramel and Hazelnut Paris-Brest"
Cathryn,3,9,NA,NA,NA,NA,NA,NA,NA,NA
Manisha,3,9,NA,NA,NA,NA,NA,NA,NA,NA
Natasha,3,9,NA,NA,NA,NA,NA,NA,NA,NA
Peter,3,9,NA,NA,NA,NA,NA,NA,NA,NA
Ryan,3,9,NA,NA,NA,NA,NA,NA,NA,NA
Sarah-Jane,3,9,NA,NA,NA,NA,NA,NA,NA,NA
Stuart,3,9,NA,NA,NA,NA,NA,NA,NA,NA
Victoria,3,9,NA,NA,NA,NA,NA,NA,NA,NA
Brendan,3,10,2,Runner-up,Lynch,63,Recruitment consultant,Sutton Coldfield,Potato and Pepper Pithivier,Family Reunion Chiffon Cake
James,3,10,1,Runner-up,Morton,21,Medical student,"Hillswick, Shetland Islands",Spanish Pithivier with Chorizo and Red Pepper,United Chiffon Cakes
John,3,10,2,WINNER,Whaite,22,Law student,Wigan,Italian Sausage and Roasted Vegetable Pithivier,Heaven and Hell Chiffon Cake
Cathryn,3,10,NA,NA,NA,NA,NA,NA,NA,NA
Danny,3,10,NA,NA,NA,NA,NA,NA,NA,NA
Manisha,3,10,NA,NA,NA,NA,NA,NA,NA,NA
Natasha,3,10,NA,NA,NA,NA,NA,NA,NA,NA
Peter,3,10,NA,NA,NA,NA,NA,NA,NA,NA
Ryan,3,10,NA,NA,NA,NA,NA,NA,NA,NA
Sarah-Jane,3,10,NA,NA,NA,NA,NA,NA,NA,NA
Stuart,3,10,NA,NA,NA,NA,NA,NA,NA,NA
Victoria,3,10,NA,NA,NA,NA,NA,NA,NA,NA
Ali,4,1,11,IN,Imdad,25,Charity worker,"Saltley, Birmingham",Rose and Pistachio Cake,"Chocolate, Raspberry and Passion Fruit Engagement Cake"
Beca,4,1,8,IN,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Grapefruit Sandwich Cake,Chocolate Cherry Indulgence
Christine,4,1,3,IN,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire","Strawberry, Vanilla and Rosewater Summer Basket",Chocolate and Orange 'Fripperous' Hat Cake
Deborah,4,1,9,IN,Manger,51,Dentist,Peterborough,Pineapple Cake,'Coffee Time'
Frances,4,1,7,IN,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",Giant Jam Sandwich,Secret Squirrel Cake
Glenn,4,1,4,IN,Cosby,37,English Teacher,"Teignmouth, Devon",Strawberries and Cream Cake,Almond and Espresso Chocolate Cake
Howard,4,1,6,IN,Middleton,51,Council Worker,Sheffield,Passion Fruit and Coconut Cake,Black Forest Revisited
Kimberley,4,1,10,IN,Wilson,30,Psychologist,London,Blood Orange Cake,"Chocolate, Raspberry & Basil Layer Cake"
Lucy,4,1,2,IN,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",Timperley Early Cake,Thyme 'Wildwood' Cake
Mark,4,1,5,IN,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,Lemon and Poppy Seed Cake,Chocolate Monster
Ruby,4,1,12,IN,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",Rhubarb and Custard Sandwich Cake,Chocolate and Ginger Night Sky Cake
Toby,4,1,13,OUT,Waterworth,30,Web Programmer,"Reading, Berkshire",Spiced and Iced Carrot Cake,Two Tiered Chocolate Cake
Robert,4,1,1,STAR BAKER,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",Pecan and Apple Cake,Raspberry Chocolate Cake
Ali,4,2,9,IN,Imdad,25,Charity worker,"Saltley, Birmingham",Italian Grissini,Sweet and Savoury Yin Yang Bread
Beca,4,2,11,IN,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Fennel and Chilli Breadsticks,Five Strand Christmas Wreath
Christine,4,2,4,IN,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",Mediterranean Breadsticks with Oregano,Double Plaited Loaf
Deborah,4,2,8,IN,Manger,51,Dentist,Peterborough,Fennel & Chilli Breadsticks,Walnut Fleur Loaf
Frances,4,2,2,IN,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",Giant Matchsticks,Sailor's Knot
Glenn,4,2,7,IN,Cosby,37,English Teacher,"Teignmouth, Devon",Rosemary and Parmesan Grissini,Harvest Crown
Howard,4,2,10,IN,Middleton,51,Council Worker,Sheffield,Moroccan Breadsticks,Picasso Sun Bread
Kimberley,4,2,1,IN,Wilson,30,Psychologist,London,Nigella Seed and Parmesan Breadsticks,Peace Bread
Mark,4,2,6,IN,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,Rosemary & Raisin Breadsticks,Sage & Garlic Plait
Robert,4,2,5,IN,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",Twisty Rye Bread Sticks,Tribute Loaf
Lucy,4,2,12,OUT,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",Grissini with Salt,Roast Tomato Bread
Ruby,4,2,3,STAR BAKER,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",Mexican Breadsticks,White Chocolate and Orange Peacock Bread
Toby,4,2,NA,NA,NA,NA,NA,NA,NA,NA
Ali,4,3,5,IN,Imdad,25,Charity worker,"Saltley, Birmingham","Coconut, Raspberry and Lemon Meringue Trifle",Vanilla Latte Mini CakesLime & Mint Shortbread Pops
Beca,4,3,10,IN,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Orange and Ginger Trifle,Limoncello and Blueberry BurstsMillionaire Shortbread
Frances,4,3,8,IN,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",Apple and Blackberry Crumble Trifle,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes
Glenn,4,3,1,IN,Cosby,37,English Teacher,"Teignmouth, Devon",Raspberry and Almond Trifle,Billionaire BouchéesOrange Financiers
Howard,4,3,7,IN,Middleton,51,Council Worker,Sheffield,Caramel and Apple Trifle*,Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits
Kimberley,4,3,6,IN,Wilson,30,Psychologist,London,"Peach, Almond and Ginger Trifle",Chocolate Pistachio FinanciersLemon Bergamot Biscuits
Robert,4,3,2,IN,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",Rhubarb and Orange Trifle,Almond FriandsTurǫn Macaroons
Ruby,4,3,3,IN,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",Desert Island Trifle,Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes
Deborah,4,3,9,OUT,Manger,51,Dentist,Peterborough,Tropical Trifle*,Canelé Cherry and Chocolate CakesRose Cookies
Mark,4,3,11,OUT,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,"Ginger, Mango and Passion Fruit Trifle",Rose and Pistachio MacaroonsChocolate and Raspberry Bites
Christine,4,3,4,STAR BAKER,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",Caribbean Pina Colada Trifle,Ninety-NinersSachertorte Parcels
Lucy,4,3,NA,NA,NA,NA,NA,NA,NA,NA
Toby,4,3,NA,NA,NA,NA,NA,NA,NA,NA
Beca,4,4,2,IN,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Mamgu's Cherry-Apple Tart,Moroccan Vegetable Filo Feast
Christine,4,4,7,IN,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire","Granny Rogers' Apple, Plum & Cinnamon Country Pie",Roasted Vegetable Filo Pie with Feta Cheese
Frances,4,4,1,IN,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",Peach Pie In the Sky,Cherry Tree Baklava Filo Pie
Glenn,4,4,9,IN,Cosby,37,English Teacher,"Teignmouth, Devon",Apple & Maple Syrup Pie,Spanakopita (Walnut and Feta Cheese)
Howard,4,4,5,IN,Middleton,51,Council Worker,Sheffield,Apple Pie with Sage Pastry,Fresh Fig and Feta Filo Flan
Robert,4,4,3,IN,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",Apple and Pear Pie with Thyme,Spanakopita with St George's Mushrooms
Ruby,4,4,6,IN,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",Apple and Marzipan Pie,"Rose, Almond and Raspberry Filo Pie"
Ali,4,4,8,OUT,Imdad,25,Charity worker,"Saltley, Birmingham",Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,"Orange, Cardamom and Date M'Hanncha"
Kimberley,4,4,4,STAR BAKER,Wilson,30,Psychologist,London,Pecan and Rosemary Caramel Apple Pie,"Chicken, Bacon and Butternut Squash Pie"
Deborah,4,4,NA,NA,NA,NA,NA,NA,NA,NA
Lucy,4,4,NA,NA,NA,NA,NA,NA,NA,NA
Mark,4,4,NA,NA,NA,NA,NA,NA,NA,NA
Toby,4,4,NA,NA,NA,NA,NA,NA,NA,NA
Beca,4,5,5,IN,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire","Chocolate, Cherry and Hazelnut Brownies",Tiered Macaron and Sugar Dough Biscuit Centrepiece
Frances,4,5,3,IN,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",Millionaire Banoffee Bonus,Biscuit Buttons and Beads
Glenn,4,5,2,IN,Cosby,37,English Teacher,"Teignmouth, Devon",Apricot and Pistachio Tiffin,Shortbread and Macaron Helter-Skelter
Howard,4,5,8,IN,Middleton,51,Council Worker,Sheffield,Breakfast Traybake,Japanese Pagoda Tea Tower
Kimberley,4,5,7,IN,Wilson,30,Psychologist,London,Cherry and Almond Bakewell Florentine Slice,Black and White Viennese Biscuit Stack
Ruby,4,5,6,IN,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",Blackberry and Lemon Bakewell Slice,'Dropped Ice-Cream' Biscuit Centrepiece
Robert,4,5,4,OUT,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",Blueberry & Orange Traybake,Dalek
Christine,4,5,1,STAR BAKER,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",Mixed Berry and Almond Crumble Traybake,Shortbread Bavarian Clock Tower
Ali,4,5,NA,NA,NA,NA,NA,NA,NA,NA
Deborah,4,5,NA,NA,NA,NA,NA,NA,NA,NA
Lucy,4,5,NA,NA,NA,NA,NA,NA,NA,NA
Mark,4,5,NA,NA,NA,NA,NA,NA,NA,NA
Toby,4,5,NA,NA,NA,NA,NA,NA,NA,NA
Beca,4,6,6,IN,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Bara Brith,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns
Christine,4,6,4,IN,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",Oxford Nutty Fruit Loaf,Schnecken BunsVanilla Custard Skolebrød
Frances,4,6,2,IN,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",Chai Tea Loaf,Hot Cross BriochesRhubarb and Custard Kolaches
Glenn,4,6,5,IN,Cosby,37,English Teacher,"Teignmouth, Devon",Devonshire Panettone,Almond and Apricot BriochesSticky Caramel Kanelbullen
Kimberley,4,6,3,IN,Wilson,30,Psychologist,London,Chai Spiced Ginger and Date Tea Loaf,Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer
Howard,4,6,7,OUT,Middleton,51,Council Worker,Sheffield,Date & Hemp Yorkshire Loaf,Peachy BunsGerman Baumschnecken
Ruby,4,6,1,STAR BAKER,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",Citrus Tea Loaf,Twisted Swedish KanelbullarSaffron St. Lucia Buns
Ali,4,6,NA,NA,NA,NA,NA,NA,NA,NA
Deborah,4,6,NA,NA,NA,NA,NA,NA,NA,NA
Lucy,4,6,NA,NA,NA,NA,NA,NA,NA,NA
Mark,4,6,NA,NA,NA,NA,NA,NA,NA,NA
Robert,4,6,NA,NA,NA,NA,NA,NA,NA,NA
Toby,4,6,NA,NA,NA,NA,NA,NA,NA,NA
Beca,4,7,1,IN,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille
Christine,4,7,6,IN,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille
Kimberley,4,7,4,IN,Wilson,30,Psychologist,London,Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard,"Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette"
Ruby,4,7,2,IN,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",Plum Jam Roly-Polywith Ginger Ice cream,Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts
Glenn,4,7,3,OUT,Cosby,37,English Teacher,"Teignmouth, Devon",Prune and Armagnac Puddingwith Boozy Butterscotch Sauce,Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille
Frances,4,7,5,STAR BAKER,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream,French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers
Ali,4,7,NA,NA,NA,NA,NA,NA,NA,NA
Deborah,4,7,NA,NA,NA,NA,NA,NA,NA,NA
Howard,4,7,NA,NA,NA,NA,NA,NA,NA,NA
Lucy,4,7,NA,NA,NA,NA,NA,NA,NA,NA
Mark,4,7,NA,NA,NA,NA,NA,NA,NA,NA
Robert,4,7,NA,NA,NA,NA,NA,NA,NA,NA
Toby,4,7,NA,NA,NA,NA,NA,NA,NA,NA
Beca,4,8,4,IN,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire","Potato, Spelt and Rosemary Focaccia",Spiced Butternut Squash and Pecan 'Cheese' Cake
Frances,4,8,3,IN,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",'Chelsea Flour Show' Bun Bouquet,"Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)"
Kimberley,4,8,2,IN,Wilson,30,Psychologist,London,Wild Garlic Pesto and Parma Ham Spelt Loaf,Butternut Squash and Spice Cake Toadstool House
Christine,4,8,5,OUT,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire","Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant
Ruby,4,8,1,STAR BAKER,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",Mango and Nigella Seed Spelt Cob,Carrot Cake and Pistachio Garden Plot
Ali,4,8,NA,NA,NA,NA,NA,NA,NA,NA
Deborah,4,8,NA,NA,NA,NA,NA,NA,NA,NA
Glenn,4,8,NA,NA,NA,NA,NA,NA,NA,NA
Howard,4,8,NA,NA,NA,NA,NA,NA,NA,NA
Lucy,4,8,NA,NA,NA,NA,NA,NA,NA,NA
Mark,4,8,NA,NA,NA,NA,NA,NA,NA,NA
Robert,4,8,NA,NA,NA,NA,NA,NA,NA,NA
Toby,4,8,NA,NA,NA,NA,NA,NA,NA,NA
Frances,4,9,2,IN,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire","Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones",Great British Soap Opera Cake
Ruby,4,9,4,IN,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex","Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake"
Beca,4,9,3,OUT,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,Banoffee Opera Cake
Kimberley,4,9,1,STAR BAKER,Wilson,30,Psychologist,London,Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken,Passion Fruit and Lime Opera Cake
Ali,4,9,NA,NA,NA,NA,NA,NA,NA,NA
Christine,4,9,NA,NA,NA,NA,NA,NA,NA,NA
Deborah,4,9,NA,NA,NA,NA,NA,NA,NA,NA
Glenn,4,9,NA,NA,NA,NA,NA,NA,NA,NA
Howard,4,9,NA,NA,NA,NA,NA,NA,NA,NA
Lucy,4,9,NA,NA,NA,NA,NA,NA,NA,NA
Mark,4,9,NA,NA,NA,NA,NA,NA,NA,NA
Robert,4,9,NA,NA,NA,NA,NA,NA,NA,NA
Toby,4,9,NA,NA,NA,NA,NA,NA,NA,NA
Kimberley,4,10,1,Runner-up,Wilson,30,Psychologist,London,Chicken and Pig Pie,Languages of Love Wedding Cake
Ruby,4,10,2,Runner-up,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",Picnic Basket Pie,"Raspberry, Lemon and Passion Fruit Wedding Cake"
Frances,4,10,3,WINNER,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",Rainbow Picnic Pie,Midsummer Night's Dream Wedding Cake
Ali,4,10,NA,NA,NA,NA,NA,NA,NA,NA
Beca,4,10,NA,NA,NA,NA,NA,NA,NA,NA
Christine,4,10,NA,NA,NA,NA,NA,NA,NA,NA
Deborah,4,10,NA,NA,NA,NA,NA,NA,NA,NA
Glenn,4,10,NA,NA,NA,NA,NA,NA,NA,NA
Howard,4,10,NA,NA,NA,NA,NA,NA,NA,NA
Lucy,4,10,NA,NA,NA,NA,NA,NA,NA,NA
Mark,4,10,NA,NA,NA,NA,NA,NA,NA,NA
Robert,4,10,NA,NA,NA,NA,NA,NA,NA,NA
Toby,4,10,NA,NA,NA,NA,NA,NA,NA,NA
Chetna,5,1,3,IN,Makan,35,Fashion Designer,"Broadstairs, Kent","Cardamom, Pistachio and Coffee Swiss Roll",Tiered Victoria Sponges with Lemon Curd and Raspberry Cream
Diana,5,1,5,IN,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",Mum's Sunday Tea Lemon Curd Swiss Roll,Chocolate Ganache Surprises
Enwezor,5,1,9,IN,Nzegwu,39,Business Consultant,"Portsmouth, Hampshire",Raspberry and Lemon Swiss Roll,Coffee and Walnut Battenberg Squares
Iain,5,1,4,IN,Watters,31,Construction Engineer,London/Belfast,Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream,"Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon"
Jordan,5,1,12,IN,Cox,32,IT Manager,"Sneinton, Nottingham",Kawaii Frasier Swiss Roll,Lemon Drizzle Cakes with Blueberry and Lemon Curd
Kate,5,1,6,IN,Henry,41,Furniture Restorer,"Brighton, East Sussex",Red Velvet and White Chocolate Swiss Roll,Mini Tiered Victoria Sponges
Luis,5,1,7,IN,Troyano,42,Graphic Designer,"Poynton, Cheshire",Spanish Swiss Roll,Raspberry and Lemon Genoise Slices with Lemon Drizzles
Martha,5,1,2,IN,Collison,17,Student,"Ascot, Berkshire",Tiramisu Swiss Roll,Mini Lemon and Thyme Drizzle Cakes
Norman,5,1,11,IN,Calder,66,Retired Naval Officer,"Portknockie, Moray",Black Forest Swiss Roll,Almond and Raspberry Mini Cakes
Richard,5,1,10,IN,Burr,38,Builder,"Mill Hill, London",Pistachio and Strawberry Swiss Roll,Miniature Coffee & Walnut Cakes
Claire,5,1,8,OUT,Goodwin,31,Speech Therapist,"Ashton upon Mersey, Trafford",Chocolatey Orangey Swirly Roll,Mini Chocolate and Cherry Cakes
Nancy,5,1,1,STAR BAKER,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Coffee and Hazelnut Swiss Roll,Jaffa Orange Cakes
Chetna,5,2,8,IN,Makan,35,Fashion Designer,"Broadstairs, Kent",Fenugreek and Carom Crackers,Day On The Beach
Diana,5,2,7,IN,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",Parmesan Triangles,"Express, First Class"
Iain,5,2,11,IN,Watters,31,Construction Engineer,London/Belfast,Za'atar and Fig Biscuits,Wild West Scene
Jordan,5,2,6,IN,Cox,32,IT Manager,"Sneinton, Nottingham","Sourdough, Parmesan and Chilli Biscuits",Monster Attack
Kate,5,2,4,IN,Henry,41,Furniture Restorer,"Brighton, East Sussex",Parmesan and Apple Biscuits,Tea Time
Luis,5,2,3,IN,Troyano,42,Graphic Designer,"Poynton, Cheshire",Black Olive and Rosemary Biscuits with Caramelised Onion Glaze,George Versus The Dragon
Martha,5,2,5,IN,Collison,17,Student,"Ascot, Berkshire",Caramelised Onion and Goat's Cheese Sandwich Biscuits,Ski Village Scene
Nancy,5,2,2,IN,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Fennel and Rye Thins,Hansel and Gretel Scene
Norman,5,2,10,IN,Calder,66,Retired Naval Officer,"Portknockie, Moray",Farthing Biscuits,Zulu Boats at Dawn
Enwezor,5,2,9,OUT,Nzegwu,39,Business Consultant,"Portsmouth, Hampshire",Pumpkin and Sunflower Savoury Biscuits,Space Adventure Moon Scene
Richard,5,2,1,STAR BAKER,Burr,38,Builder,"Mill Hill, London",Rosemary Seeded Crackers,Pirates!
Claire,5,2,NA,NA,NA,NA,NA,NA,NA,NA
Chetna,5,3,8,IN,Makan,35,Fashion Designer,"Broadstairs, Kent",Onion and Pine Nut Rolls,Rolled and Filled Twin Loaf
Diana,5,3,7,IN,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",Rustic Picnic Rolls,Sharing Savoury Pinwheel
Iain,5,3,9,IN,Watters,31,Construction Engineer,London/Belfast,Cranberry and Walnut Rye Bread Rolls,Moroccan Plaited with a Bessara Dip
Kate,5,3,1,IN,Henry,41,Furniture Restorer,"Brighton, East Sussex",Orange and Cardamom Rye Bread Knots,"Prosciutto, Olive and Coriander Bread"
Martha,5,3,3,IN,Collison,17,Student,"Ascot, Berkshire",Date and Walnut Rye Rolls,Stuffed Sunflower Loaf
Nancy,5,3,5,IN,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Cider and Walnut Crusty Rolls,'Full English' Stromboli
Norman,5,3,4,IN,Calder,66,Retired Naval Officer,"Portknockie, Moray",Rye Bread Rolls,Chicken and Roasted Vegetable Picnic Loaf
Richard,5,3,6,IN,Burr,38,Builder,"Mill Hill, London",Rye and Cranberry Rolls,Pesto Pinwheel
Jordan,5,3,10,OUT,Cox,32,IT Manager,"Sneinton, Nottingham",Rye and Spelt Bread Rolls,Strawberry Raspberry Cheesecake Brioche
Luis,5,3,2,STAR BAKER,Troyano,42,Graphic Designer,"Poynton, Cheshire",Opposites Attract Rolls,Roscón de Reyes
Claire,5,3,NA,NA,NA,NA,NA,NA,NA,NA
Enwezor,5,3,NA,NA,NA,NA,NA,NA,NA,NA
Chetna,5,4,3,IN,Makan,35,Fashion Designer,"Broadstairs, Kent","Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska"
Diana,5,4,9,IN,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",Orange and Lemon Curd Pots,Raspberry Ripple Alaska Swan
Kate,5,4,7,IN,Henry,41,Furniture Restorer,"Brighton, East Sussex",Chocolate and Salted Caramel Molten Puddings,"Pistachio, Raspberry and Chocolate Baked Alaska"
Luis,5,4,2,IN,Troyano,42,Graphic Designer,"Poynton, Cheshire",Pears in Puddings,Bakewell Alaska
Martha,5,4,1,IN,Collison,17,Student,"Ascot, Berkshire",Peanut Butter Chocolate Fondants,Key Lime Baked Alaska
Nancy,5,4,4,IN,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Pistachio Puddings with Chocolate Sauce,Summer Pudding Alaska
Norman,5,4,8,IN,Calder,66,Retired Naval Officer,"Portknockie, Moray",Mini Sticky Toffee Puddings,Baked Alaska with Strawberry Surprise
Iain,5,4,6,OUT,Watters,31,Construction Engineer,London/Belfast,"Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)"
Richard,5,4,5,STAR BAKER,Burr,38,Builder,"Mill Hill, London",Black Forest Chocolate Fondants,Tiramisu Baked Alaska
Claire,5,4,NA,NA,NA,NA,NA,NA,NA,NA
Enwezor,5,4,NA,NA,NA,NA,NA,NA,NA,NA
Jordan,5,4,NA,NA,NA,NA,NA,NA,NA,NA
Chetna,5,5,2,IN,Makan,35,Fashion Designer,"Broadstairs, Kent",Rice Custard Tart with Mangoes and Raspberries,Fusion Tiered Pies
Luis,5,5,6,IN,Troyano,42,Graphic Designer,"Poynton, Cheshire",Tropical Manchester Tart,Four Fruity Seasons Tower
Martha,5,5,1,IN,Collison,17,Student,"Ascot, Berkshire","Pistachio, Apricot and Honey Custard Tart",Three Little Pigs Pie
Nancy,5,5,4,IN,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Chocolate Crusted Passion Fruit Tart,Trio of Apple Pies
Richard,5,5,7,IN,Burr,38,Builder,"Mill Hill, London",Fig and Orange Tart,Three Course Autumn Pie Feast
